[Sun Dec 11 11:06:28.664373 2016] [:error] [pid 5738] [client 127.0.0.1:57338] PHP Fatal error:  Class 'app\\controllers\\NotFoundHttpException' not found in /media/data/www/yii2-study/controllers/SiteController.php on line 63
[Sun Dec 11 11:06:29.679539 2016] [:error] [pid 5739] [client 127.0.0.1:57340] PHP Fatal error:  Class 'app\\controllers\\NotFoundHttpException' not found in /media/data/www/yii2-study/controllers/SiteController.php on line 63
[Sun Dec 11 11:06:30.118842 2016] [:error] [pid 5783] [client 127.0.0.1:57342] PHP Fatal error:  Class 'app\\controllers\\NotFoundHttpException' not found in /media/data/www/yii2-study/controllers/SiteController.php on line 63
[Sun Dec 11 11:06:30.335703 2016] [:error] [pid 8076] [client 127.0.0.1:57344] PHP Fatal error:  Class 'app\\controllers\\NotFoundHttpException' not found in /media/data/www/yii2-study/controllers/SiteController.php on line 63
[Sun Dec 11 11:30:36.906235 2016] [:error] [pid 8076] [client 127.0.0.1:57754] PHP Fatal error:  Class 'app\\components\\MyComponent' not found in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:30:51.427477 2016] [:error] [pid 8077] [client 127.0.0.1:57768] PHP Fatal error:  Class 'app\\components\\MyComponent' not found in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:30:53.274697 2016] [:error] [pid 8077] [client 127.0.0.1:57768] PHP Fatal error:  Class 'app\\components\\MyComponent' not found in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:30:53.690981 2016] [:error] [pid 8077] [client 127.0.0.1:57768] PHP Fatal error:  Class 'app\\components\\MyComponent' not found in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:31:10.886557 2016] [:error] [pid 30294] [client 127.0.0.1:57780] PHP Fatal error:  Class 'app\\components\\MyComponent' not found in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:31:45.917872 2016] [:error] [pid 8077] [client 127.0.0.1:57788] PHP Fatal error:  Class 'app\\components\\myComponent' not found in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:31:46.439577 2016] [:error] [pid 8077] [client 127.0.0.1:57788] PHP Fatal error:  Class 'app\\components\\myComponent' not found in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:31:46.626831 2016] [:error] [pid 8077] [client 127.0.0.1:57788] PHP Fatal error:  Class 'app\\components\\myComponent' not found in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:31:46.804279 2016] [:error] [pid 8077] [client 127.0.0.1:57788] PHP Fatal error:  Class 'app\\components\\myComponent' not found in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:31:46.989259 2016] [:error] [pid 8077] [client 127.0.0.1:57788] PHP Fatal error:  Class 'app\\components\\myComponent' not found in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:31:59.981818 2016] [:error] [pid 29343] [client 127.0.0.1:57794] PHP Parse error:  syntax error, unexpected '\\' (T_NS_SEPARATOR), expecting ']' in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:32:00.507890 2016] [:error] [pid 29343] [client 127.0.0.1:57794] PHP Parse error:  syntax error, unexpected '\\' (T_NS_SEPARATOR), expecting ']' in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:32:00.752378 2016] [:error] [pid 29343] [client 127.0.0.1:57794] PHP Parse error:  syntax error, unexpected '\\' (T_NS_SEPARATOR), expecting ']' in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:32:00.959854 2016] [:error] [pid 29343] [client 127.0.0.1:57794] PHP Parse error:  syntax error, unexpected '\\' (T_NS_SEPARATOR), expecting ']' in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:32:01.181208 2016] [:error] [pid 29343] [client 127.0.0.1:57794] PHP Parse error:  syntax error, unexpected '\\' (T_NS_SEPARATOR), expecting ']' in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:34:58.441754 2016] [:error] [pid 8075] [client 127.0.0.1:57842] PHP Fatal error:  Class 'app\\components\\myComponent' not found in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:34:59.111716 2016] [:error] [pid 8075] [client 127.0.0.1:57842] PHP Fatal error:  Class 'app\\components\\myComponent' not found in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:34:59.328464 2016] [:error] [pid 8075] [client 127.0.0.1:57842] PHP Fatal error:  Class 'app\\components\\myComponent' not found in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:34:59.519110 2016] [:error] [pid 8075] [client 127.0.0.1:57842] PHP Fatal error:  Class 'app\\components\\myComponent' not found in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:35:06.542783 2016] [:error] [pid 30294] [client 127.0.0.1:57844] PHP Fatal error:  Undefined constant 'app\\components\\myComponent' in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:35:07.024188 2016] [:error] [pid 30294] [client 127.0.0.1:57844] PHP Fatal error:  Undefined constant 'app\\components\\myComponent' in /media/data/www/yii2-study/config/web.php on line 50
[Sun Dec 11 11:35:07.200324 2016] [:error] [pid 30294] [client 127.0.0.1:57844] PHP Fatal error:  Undefined constant 'app\\components\\myComponent' in /media/data/www/yii2-study/config/web.php on line 50
